station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
232525087340201,Amragarh Pz,23.42361111,87.56722222,,,,,,,,,8.08,9.13,3.69,1.8,3.03,5.58,2.16,2.6,3.75,4.92,2.08,2.18,4.28,4.91,2.2,3.02,2.92,4.71,3.85,2.48,4.93,3.36,4.14,3.12,5.92,3.49,2.74,3.34,4.19,4.64,3.36,2.27,2.68,6,4.54,2.51,3.88,4.88,3.38,2.6,3.68,6.11,2.69,2.43,3.98,4.76,4.88,1.55,3.83,5.08,3.13,3.3,5.08,5.38,4.4,4.08,4.28,7.88,5.76,4.22,5.76,8.6,3.53,2.99,4.19,,,3.07,4.03,,5.7,4.52,5.04,,,,,2.68,2.68,3.63,,,4.38,7.99,9.2,8.12,9.57,2.34,,,6.93,8.99,8.48,12.67,11.65,7,6.49,,,5.47,,,,5.03,5.27,,,9.02,,12.53,,
233138087372601,Bannabagram-1,23.52722222,87.62388889,,,,,,,,,4.31,6.1,3.15,3.26,4.12,5.14,2.3,3.04,,4.46,2.1,3.21,4.06,5.55,2.86,2.8,3.58,6.87,3.22,3.25,4.97,2.95,6.49,,1.93,2.97,3.77,2.82,3.97,4.79,3.55,3.49,4.67,7.2,,3.35,3.75,2.35,5.5,3.64,2.2,2.95,3.42,1.03,2.04,5.41,3.19,0.51,,5.36,3.69,4.03,,4,3.04,4.94,4.84,6.59,5.02,5.07,5.25,6.9,5.83,,,6.43,,4.65,,6.35,4.11,4.35,4.54,6.5,5.31,,,13.13,3.92,5.16,,7.69,3.89,,5.07,,,,7.09,7.8,6.2,6.78,6.29,7.62,6.18,8.23,6.98,,,4.82,5.77,,4.53,8.57,4.36,12.93,6.05,5.26,,,,
231500087523001,Barddhaman,23.25,87.875,,,,,,,,,2.28,2.83,1.46,1.78,2.33,2.53,1.78,1.78,2.29,2.42,1.72,1.87,2.46,2.98,1.49,1.89,2.23,2.53,2.33,1.88,2.32,2.18,1.62,2.12,2.49,2.23,1.7,1.85,2.4,2.69,1.53,1.74,2.24,2.52,1.67,1.88,2.32,2.68,1.88,1.89,2.28,3.1,1.33,1.95,2.29,2.68,1.58,1.76,2.35,2.6,1.38,1.8,2.25,2.88,1.46,2.03,2.38,3.03,2.11,2.1,2.48,3.23,1.46,1.86,2.22,2.9,,2.03,2.48,3.53,1.26,1.7,2.18,2.8,1.6,,2.14,2.79,1.76,2.13,,2.4,2.8,5.69,2.62,7.8,1.53,1.72,7.3,2.8,5.49,2.04,2.43,2.44,1.96,5.97,12.26,,1.23,8.13,8.88,,1.46,1.6,1.8,2.21,1.68,11.66,,,,
232425087295001,Bud Bud Pz-1,23.40694444,87.49722222,,,,,,,,,5.47,7,,3.83,5.96,8.23,2.57,2.71,6.12,6.56,2.11,4.04,7.5,,2.15,5.93,5.91,6.58,4.91,,8.93,,,5.05,9.07,,5.4,5.08,8.41,7.02,5.06,4.11,5.16,7.24,6.52,5.82,5.84,6.67,5.88,4.77,6.52,6.82,5.07,5.14,6.17,7.32,4.52,4.17,5.77,7.21,4.28,3.44,5.62,6.5,6.26,6.17,6.22,9.12,8.62,4.6,6.59,10.3,,,6.2,,,4.75,2.47,7.2,4.21,3.51,4.02,6.3,3.32,,6.32,3.27,3.27,4.98,,9.52,3.58,7.63,8.25,4.55,3.44,3.82,6.92,6.22,4.07,5,,,6.91,,,,,,,,5.56,,5.71,9.61,4.51,6.35,,,,
230145088001501,Chakdigi,23.02916667,88.00416667,,,,,,,,,5,7.1,2.41,3.28,4.37,7.33,2.37,5.5,6.37,11.15,4.84,3.86,9.06,,5.11,5.45,6.32,11.61,3.37,4.4,6.95,6.01,,4.8,,5.82,5.1,5.34,6.71,11.23,5.12,3.97,4.3,11.69,,4.61,7.4,11,7.15,10.48,7.4,9.41,5.82,5.84,8.25,11.46,5.9,4.63,7.65,11.7,4.5,8.25,7.16,9.4,,6.2,8.62,8,7.8,9.9,8.32,10.3,6.2,6.25,7.72,8.9,,6.91,8.87,10.2,7.25,5.32,6.1,10,5.3,,9.56,10.75,7,7.94,,12.5,6.95,6.32,10.52,12.92,7.83,5.5,11.05,10.4,7.22,9.11,12.31,9.69,17.35,,11.09,,2.82,6.58,11.12,,7.73,5.64,6.26,12.73,,9.35,,,,
233122087480401,Charnak Pz,23.52277778,87.80111111,,,,,,,,,6.61,9.2,3,3.44,5.48,8.28,2.3,2.45,5.93,5.5,2.16,3.25,4.13,12.33,2.98,2.59,2.76,9.07,2.81,2.98,3.22,5.31,3.6,,12,5.56,4.07,3.34,5.96,9.42,4.87,,5.05,10.14,7.15,4.83,,8.83,7.4,3.98,8.53,11.23,4.6,5.04,8.93,11.54,7.08,4.25,8.51,9.81,5.4,4.21,8.32,9.25,7,7,9.95,14.83,13.73,4.51,12.84,15.08,7.56,7,8.18,15.83,,5.5,8.28,13.28,,,,14.5,9.83,,12.76,14.29,10.15,14.54,,,13.98,17.94,16.04,13.45,13.62,7.73,18.08,16.53,18.13,19.12,19.33,16.52,18.25,,17.1,,13.72,13.98,15.93,,9.51,9.7,9.42,17.6,17.66,13.52,,,,
231730087380001,Galsi,23.29166667,87.63333333,,,,,,,,,5.25,,2.7,3.63,3.7,9.9,4.25,4.56,6.64,5.81,3.98,4.29,9.31,9.2,4.07,4.64,5.43,6.47,3.15,4.2,9.14,4.45,4.06,6.28,8.15,4.46,3.78,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,9.82,4.92,5.35,9.35,8.95,4.22,5.8,,,7.69,,,,,,,,5.48,5.61,7.72,11.63,,6.68,,,,
231615087493001,Jhinguti,23.27083333,87.825,,,,,,,,,5.1,8.55,3.87,3.84,5.22,6.66,4.2,4.41,7.03,8.57,3.85,4.18,11.03,13.1,3.82,4.27,9.81,,4.37,4.12,8.92,4.7,4.28,6.07,8.9,5.05,4.67,4.36,10.51,9.94,4.78,3.69,,7.46,5.81,,7.18,10.9,10.72,5.53,,8.9,4.62,4.86,8.62,10.23,,,9.16,10.15,4.95,6.32,8.45,11,6.97,5.5,8.6,10.5,7.85,6.8,9.84,11.7,8.57,6.27,,10.7,,7.42,11.32,13.9,10.1,7.04,11.3,11.4,8.8,,11.13,13.5,9.27,10.98,,14.5,9.8,12.35,12.07,14.45,,8.25,13.6,11.65,,10.89,13.52,14.17,12.41,10.11,,,,9.28,12.5,,9.88,8.57,9.54,11.92,10.87,10.59,,,,
231317088213901,Kalna,23.22138889,88.36083333,,,,,,,,,8.35,8.21,4.3,6.3,8.11,8.84,5.66,5.79,6.31,7.16,4.67,5.93,6.29,10.38,4.72,5.4,9.66,9.02,7.65,6.2,9.77,8.13,7.12,6.75,10.8,6.89,7.59,5.42,9.73,11.12,8.74,6.3,1.7,4.94,8.57,6.3,8.9,10.5,9,7.41,,9.92,7.35,8,9.44,11.01,7,7.05,8.77,11.77,6.6,7.12,8.31,2.3,,7.9,8.93,10.5,7,8.6,9.34,11.15,7.5,8.32,8.42,11.4,,8.66,9.09,11.15,,7.3,9.12,10.25,8.5,,9.15,4.88,4.88,8.77,,10.9,8.75,13.11,7.33,9.9,8,8.05,11.2,9.75,8.81,9.48,9.95,9.52,9.65,,10.87,,9.31,6.21,9.57,,,6.08,,,,9.51,,,,
232350088163701,Kusumgram Pz,23.39722222,88.27694444,,,,,,,,,9.12,16.31,4.65,13.88,14.31,17.59,9.12,9.38,15.06,15.44,8.19,10.96,15.33,16.67,8,14,15.63,16.38,6.92,15.1,16.09,15.59,16.11,8.07,17.17,15.1,16.25,15.66,1.63,17.41,16.43,16.09,16.17,17.54,16.41,16.57,16.67,18.02,17.39,16.74,,18.37,18.04,,19.97,19.5,14.4,18.52,18.92,17.6,15.7,10.65,18.8,20.75,19.65,20.1,19.93,21.1,20.76,12.36,21.15,21.95,,,,,,,22.4,,,,,,,,,24.2,,,,,,,,,,,,,26.05,25.67,25,25.42,25.25,25.38,25.45,,25.26,,25.35,,25.75,24.95,25.33,26.01,28.47,25.25,,,,
231300087400001,Metedanga,23.21666667,87.66666667,,,,,,,,,2.15,3.7,2.15,3.78,,6.74,2.87,3.19,5.49,6.49,2.66,3.38,6.52,8,2.7,3.23,3.43,7.83,3.1,3.85,3.59,4.72,,2.3,,4.91,,,,,2.86,1.47,2.11,7.49,2.41,2.9,1.75,7.5,4.3,6.38,5.35,7.4,2.38,3.8,5.68,7.75,2.86,3.28,6.04,10.12,2.46,2.22,5.33,6.76,3.81,3.46,5.71,6.16,5.49,3.94,6.36,8.06,3.04,3.88,5.88,8.86,,4.56,5.35,9.51,6.06,5.06,6.12,7.8,3.9,,5.51,7.56,3.48,4.86,,8.4,,,11.06,8.56,,4.76,11.01,,,5.42,6.78,2.22,7.82,9.33,,,5.01,4.99,6.46,,6.08,5.72,6.43,8.74,4.41,5.71,,,,
232605087461501,Orgram,23.43472222,87.77083333,,,,,,,,,3.2,2.7,0.72,1.5,3.58,4.24,0.54,1.8,3.47,1.66,1.41,1.93,3.18,1.7,1.38,1.8,2.8,1.63,4.1,1.95,2.73,1.62,1.6,,2.2,1.91,1.05,1.86,2.78,2.11,1.3,1.58,3.31,3.22,0.91,1.8,3.15,2.9,,2.22,3.7,8.15,1.05,2.16,3.4,6.48,1.02,1.55,3.64,5.2,1.05,2.45,3.45,3.7,0.94,2.8,3.95,,2.54,3.78,4.42,10.1,1.52,2.36,3.7,8.95,,2.7,3.95,7.8,4.17,2.16,4.04,9.3,1.42,,,9.9,1.46,3.72,,9.5,1.5,6.91,4.53,10.95,1.74,2.52,5.4,10.06,0.7,,6.12,17.02,0.7,3.87,6.79,,2.4,3.93,6.3,,1.55,2.72,4.16,8.78,2.94,4.51,,8.87,,
233305087295002,Raghunathpur-1,23.55138889,87.49722222,,,,,,,,,10.8,11.05,10.33,10.07,10.12,11.09,10.55,9.95,9.94,13.68,7.56,9.87,10.16,11.8,6.54,9.77,9.97,,11.25,10.8,11.45,10.1,11.2,6.06,11.79,12.52,11.92,12.36,11.58,12.7,3.86,11.81,13.32,13.36,4.65,,12.4,,13.52,13.47,,17.4,,14.41,14.6,18.62,13.22,,,14.5,3.5,12.6,8.6,,17.34,14.4,13.1,,,14.1,18.05,,,14.76,14.39,,,,17.39,15.1,12.16,11.1,12.25,,5.8,,9.4,4.6,4.6,,,9.8,,,,,,,,,3.14,5.93,7.43,8.63,31.42,24.83,19.73,,22.15,,6.9,,18.28,2.56,16.06,19.65,18.05,19.72,,,,
234420087584001,Ramjibanpur,23.73888889,87.97777778,,,,,,,,,5.44,12.03,6.73,6.98,7.57,8.32,5.89,5.57,10.18,6.49,4.59,5.09,10.81,,4.74,7.41,8.91,,6.5,,9.26,,,7.64,,,8.47,7.83,9.02,11.34,8.9,6.12,6.16,11.53,11.69,8.95,9.22,12,11.28,9.03,,12.7,11.8,10.5,10.65,12.47,12.15,10.33,10.66,12.81,12.45,9.31,11.35,13.3,13.79,13.45,13.35,14.15,11.65,10.01,14.65,16.15,14,15.36,15.15,16.05,,16.3,16.12,18.65,15.07,16.61,16.7,17.45,17.4,,17.5,18.2,18.05,18.11,,18.7,15.3,20,18.91,19.8,,19.29,18.95,20.1,15.94,20.74,,13.6,4.93,14.73,21.37,,21.92,22.05,22.03,,20.96,12.65,22.49,,23.3,16.5,,,,
232042087312001,Kasba,23.345,87.52222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,5.18,6.98,4.78,3.09,4.59,,7.06,,,,5,,,7.32,,4.1,,,5.4,,4.58,,6.78,4.94,,7.26,8.28,,,,,,5.37,,6.62,,,4.44,,,,,,,,,,5.04,9.82,10.4,4.53,7.86,5.85,6,7.1,14.46,16.33,7.83,6.74,4.56,,5.38,,,29.38,6.49,,3.22,4.67,,6.42,4.57,5.72,,6.47,,
232526088035201,Maladanga,23.42388889,88.06444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.86,14.3,14.4,15.6,14.63,3.42,,16.02,,,16.66,5.2,,,13.23,12.26,,9.45,16.17,16.8,11.5,12.25,,19.17,,10.4,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,,,,,,,,,,,,,,,
231734087350201,Ramgopalpur,23.29277778,87.58388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,5.1,7.18,5.88,4.89,4.46,7.6,6.58,,,7.88,,,,8.82,,5.44,,8.88,7.84,6.08,5.48,8.74,8.64,4.34,,,,,,,,,5.3,,,,,,,,,,,,,,,,9.21,,,5.33,,6.9,,5.5,6.26,8.59,8.96,,,6.53,,4.8,6,8.51,,4.51,7.12,7.38,9.02,7.11,6.81,,9.27,,
231437087505101,Amra,23.24361111,87.8475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,1.15,2.31,4.11,2.08,0.89,2.55,5.63,0.73,2.92,2.13,3.55,0.88,2.2,3.68,6.02,3.64,3.06,4.13,6.4,2.66,2.42,3.63,4.38,,2.93,4.23,4.7,2.82,3.03,3.84,4.1,0.78,,4.53,4.08,1.82,,,,3,3.35,8.14,4.93,2.79,1.92,4.12,5.44,,,5,5.05,4.31,5.81,,,,,,,,,2.94,,,,,,,
231441087561601,Amirpur,23.24472222,87.93777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,5.1,3.92,5.08,6.25,,3.25,5.76,7.52,5.49,5.07,5.51,5.9,3.45,,3.92,5.05,3.5,,,,1.45,,2.3,,4.79,3.8,,,,,,,,,,,,,,,,,,,,,,,,
230824088033701,Ajhapur1,23.14,88.06027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,4.25,3.61,2.15,2.05,2.4,3.4,1.3,1.7,3.5,3.7,1.14,2.1,3.7,4.35,,2,,,,1.4,3.2,3.8,2.6,2.23,4.44,,,,3.17,,1.85,,,,,1.29,,,,,,,,
233138087375701,Ausgram2,23.52722222,87.6325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22,,8.02,3.8,3.05,3.5,7.35,2.75,5.45,6.93,7.25,2.11,5.38,5.17,8.58,2.4,2.74,6.54,,,,,7.83,,,,,10.9,,6.81,,,,,,2.53,3.04,,,,,,8.11,,
232424087330001,Bahirghona,23.40666667,87.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,4.91,16.11,10.22,9.42,9.7,4.45,,,7.58,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.61,,
231206088240101,Bandebaz,23.20166667,88.40027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,5.5,4.05,2.02,1.32,1.81,6,5.04,5.25,5.31,6.35,3.77,3.89,4.68,10.95,4.15,4.4,4.73,5.89,4.74,4.15,5.25,6,4.75,5.02,,,,,,,,,4.99,,,,,,7.11,,,,,
232433087585501,Barabelun Pz(swid),23.40916667,87.98194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95,21.61,20.3,15.54,21.5,21.9,22.7,22.6,21.5,22.6,23.5,23.32,23.2,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231002088122601,Bara Dhamas,23.16722222,88.20722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.37,19.01,14.25,10.4,9.65,,18,17.4,17.65,16,18.9,17.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230125087541601,Barpur (pashanda),23.02361111,87.90444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55,11.25,,,,,11.75,14.1,,6.57,13.15,11.49,,18.65,,,,,,,7.75,9.35,,,,12.13,13.28,,10.54,,,,14.27,12.33,,,7.62,7.98,15.71,,8.03,,,,
230547087592601,Berugram (Moralpara),23.09638889,87.99055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,5.02,9.67,7.4,5.15,5.6,7.3,2.42,4,4.85,9.4,1.69,2.99,4.45,8.7,2.35,,4.38,8.55,,2.7,4.58,5.8,6.76,3.94,4.89,8.55,2.2,,4.38,,2.35,2.67,4.08,,1.85,1.97,2.43,3.73,2.63,2.86,,4.69,,
230812087434901,Bowaichandi,23.13666667,87.73027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,6.82,11.35,8.35,7.7,8.1,11.25,11.6,6.7,6.4,16.5,9.8,14.04,12.6,,,,,,11.07,6.5,12.15,13.6,9.88,7.56,12.65,15.17,20.57,10.08,11.78,,,7.8,9.18,,4.97,6.79,6.88,19.5,14.49,11.08,,19.57,,
232544088172701,Chak Bamangoria,23.42888889,88.29083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,11.85,,9.2,8.62,,7.5,10.75,11.6,12.35,12.75,9.88,,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232800088204001,Chupi,23.46666667,88.34444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,6.75,,,,9.11,6.75,5.9,6.2,5.79,5.94,2.74,,7.26,,,,,,,4.94,8.14,9.25,5.45,6.35,,,,,7.09,,4.71,,,,,,,,,,,7.46,,
233625088101601,Dainhat2,23.60694444,88.17111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.62,2.02,1.07,1.12,1.22,1.92,1.29,1.32,1.46,1.5,1.13,1.25,9.42,1.87,0.4,5.17,1.62,,,1.29,1.87,2.2,1.22,1.32,1.49,1.4,1.06,0.64,1.44,,0.97,,1.33,,1.35,1.2,1.09,1.62,1,1.2,,1.7,,
231107088052701,Dakshin Radhakantapur,23.18527778,88.09083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.4,2.51,1.09,1.01,1.34,1.3,0.94,1.54,2.41,2.4,0.31,1.12,1.82,4.14,,,1.78,1.72,,1.2,1.55,1.9,0.94,1.23,2.2,2.59,,0.95,1.38,,0.42,,1.39,,0.48,0.63,0.77,1.41,0.56,1.01,,,,
232133087391001,Galigram2,23.35916667,87.65277778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,6.35,4.23,2.22,2.62,5.08,5.6,5.4,2.7,6.08,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46,,
230855088001301,Haibatpur,23.14861111,88.00361111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,2.33,8.12,7.24,6.08,6.24,,,,,,,,7.6,,,8.28,9.12,,,,,,,,3.21,3.32,1.49,,2.87,,1.53,1.61,2.71,,1.87,1.84,2.23,3.07,2.27,2.88,,3.19,,
234514088013001,Hat Moregram,23.75388889,88.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.37,,15.5,10.25,12.3,12.6,16.3,15.2,15.65,,,9.7,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.21,,
230100087492401,Kaity,23.01666667,87.82333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,14.21,14.66,13.12,10.66,10.5,,15.45,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
