station_id,station_name,latitude,longitude,1994_season1,1994_season2,1994_season3,1994_season4,1995_season1,1995_season2,1995_season3,1995_season4,1996_season1,1996_season2,1996_season3,1996_season4,1997_season1,1997_season2,1997_season3,1997_season4,1998_season1,1998_season2,1998_season3,1998_season4,1999_season1,1999_season2,1999_season3,1999_season4,2000_season1,2000_season2,2000_season3,2000_season4,2001_season1,2001_season2,2001_season3,2001_season4,2002_season1,2002_season2,2002_season3,2002_season4,2003_season1,2003_season2,2003_season3,2003_season4,2004_season1,2004_season2,2004_season3,2004_season4,2005_season1,2005_season2,2005_season3,2005_season4,2006_season1,2006_season2,2006_season3,2006_season4,2007_season1,2007_season2,2007_season3,2007_season4,2008_season1,2008_season2,2008_season3,2008_season4,2009_season1,2009_season2,2009_season3,2009_season4,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4,2022_season1,2022_season2,2022_season3,2022_season4,2023_season1,2023_season2,2023_season3,2023_season4
221000088344501,Ambikanagar,22.16666667,88.57916667,,,,,,,,,4.15,,4.01,2.82,2.58,3.2,3.88,4.1,,3.4,2.08,,2.64,5.59,,2.14,2.43,4.38,3.85,3.65,3.75,3.94,3.68,3.01,3.84,4.41,3.78,3.51,3.8,,,4.07,4.15,4.99,4.25,3.9,4.03,4.8,4.16,3.65,4.16,,,,1.77,4.49,3.4,,,4.53,,,,5.02,3.86,3.38,5.07,6.21,4.33,1.95,4.38,,4.23,3.45,5.5,6.71,,7.99,5.81,9.19,4.43,5,6.42,7.84,7.34,,4.82,6.78,4.2,,,6.72,7.75,4.44,10.44,8.05,4.04,5.05,6.06,11.01,11.3,5.75,8.78,7.64,5.47,6.28,6.47,,6.14,2.42,16.88,,9.24,8.58,12.38,16.68,10.38,7.2,19.84,7.41,,
220405088140501,Andhamanitala,22.06805556,88.23472222,,,,,,,,,1.26,,2.3,1.95,2.6,2.9,1.75,1.08,2.66,3.16,0.67,2.9,3.12,4.35,1.13,2.65,1.64,4.26,2.85,2.8,2.83,3.37,3.17,3.08,3.1,3.24,3.06,2.41,2.44,3.37,2.98,2.66,1.33,3.05,5.87,2.38,2.62,3.45,1.77,2.23,1.77,3.56,2.15,4.3,4.44,2.06,5.88,1.54,5.5,4.3,3.06,3.85,1.95,4.75,5.15,2.61,5.34,,2.5,4.2,6.95,,5.49,,,,,7.1,6.15,7.04,6.87,,,6.45,7.3,,,,,,,9.26,,,8.03,,11.4,,6.55,10.57,4.1,8.06,8.97,,,,,,,,11.55,,,,,,,,,,,
222045088140501,Athaarobanki,22.34583333,88.23472222,,,,,,,,,2.57,2.64,1.5,1.71,2.02,2.6,0.87,2.12,2.8,2.84,1.25,1.05,2.18,3.34,1.71,1.93,2.54,4.17,2.31,1.96,2.1,2.34,2.22,2.16,2.89,3.21,2.14,1.58,2.85,1.91,1.09,1.1,1.03,2.49,0.87,0.56,1.21,2.3,4.17,0.56,4.17,2.7,1.3,1.35,1.55,2.45,1.53,1.25,0.8,2.48,2,1.5,2.09,3.35,2.8,2.3,2.35,,,2.06,,,,1.79,4.09,,,2.25,,4.84,2.36,1.97,1.98,4.72,,,,3.75,3.32,,,5.05,3.57,,4.96,5.79,7.56,,4.71,,3.22,,,5.4,4.85,3.05,3.06,,3.73,,0.52,,3.58,2.92,0.76,6.15,6.37,6.07,9.3,7.54,,
222930088190001,Barisha,22.49166667,88.31666667,,,,,,,,,0.43,0.63,0.28,1.39,0.12,0.3,0.13,0.27,0.27,0.16,0.1,0.23,0.34,0.27,0.22,0.28,0.52,0.23,0.1,0.28,0.29,0.43,0.32,0.29,0.26,0.33,0.1,0.2,0.18,,0.12,0.21,0.24,0.11,0.17,0.34,0.45,0.37,1.92,0.42,1.92,0.13,1.73,,0.5,0.23,0.26,0.45,1.1,0.38,0.27,0.8,0.43,0.23,0.32,0.63,0.27,0.07,0.42,0.07,1.25,0.13,0.1,0.02,0.13,0.26,,0.21,0.22,0.4,0.11,0.65,0.09,0.52,1.72,,0.96,,,0.25,,0.23,0.87,0.34,0.39,0.07,0.61,,0.23,0.21,3.08,0.43,0.23,0.73,0.1,,1.93,,0.05,,0.23,,0.12,0.13,,0.53,0.63,0.53,1.35,,,
222130088271001,Baruipur,22.35833333,88.45277778,,,,,,,,,4.05,3.31,5.32,1.34,6.01,6.26,5.66,5.71,6.87,6.52,5.76,5.55,5.58,7.31,5.77,5.29,5.78,7.55,6.43,5.77,6.16,7.61,6.13,5.91,6.82,7.5,5.63,5.95,6.76,,6.15,5.85,5.94,7.05,6.08,5.88,5.74,6.44,5.82,7.16,5.82,5.4,6.4,6.3,5.7,6.95,6.2,6.16,5.84,4.99,3.35,5.87,6.7,8.12,5,6.3,6.67,8.49,7.86,8.22,,10.05,7.2,7.63,6.96,,,,9.11,11.18,9.1,8.7,7.04,10.95,10.29,,10.02,12.07,11.02,9.71,,11.75,,,10.79,12.54,11.12,8.56,10.05,12.1,11.86,10.58,10.87,12.58,10.38,10.77,10.11,,10.28,0.67,8.05,,11.86,10.4,,11.45,11.75,11.15,12.88,11.35,,
222900088120001,Budge Budge,22.48333333,88.2,,,,,,,,,1.05,1.25,1.04,1.55,1.19,1.8,1.59,1.47,1.12,2.37,1.07,0.49,0.98,0.56,1.03,1.05,1.07,0.8,0.91,1.07,1.13,1.26,0.95,0.91,1.04,1.15,1.07,0.89,0.94,1.94,1.82,1.34,0.89,1.97,1.31,1.31,1.07,1.5,1.35,1.47,1.35,0.7,1.35,0.3,0.88,1.05,1.88,1.77,1.25,2.38,0.96,1.8,1.54,1.05,1.82,1.8,1.39,0.32,0.63,0.68,0.56,0.36,0.8,1.18,0.76,0.8,,0.3,0.36,0.92,0.56,0.45,0.49,2.1,1.69,,1.67,1.2,1.4,0.78,,1.18,1.24,0.55,0.79,0.39,1.85,,1.68,1.64,2.51,2.61,1.08,1.17,0.48,0.58,0.71,,0.75,,1.8,,3.85,0.65,,1.6,1.1,1.7,2.1,1.11,,
220910088251501,Burarghat,22.15277778,88.42083333,,,,,,,,,3.57,3,,,1.45,2.08,,4.34,2.57,2.73,1.5,1.03,1.53,2.88,1,1.53,2,2.58,1.6,1.69,1.86,2.23,2.03,1.99,2.11,2.47,2.07,1.26,,2.13,0.56,0.81,1.32,2.85,0.75,0.44,0.79,2.22,0.32,1.02,1.32,5.64,4.8,5.28,5.32,2.11,4.9,0.92,4.92,5.62,5.15,4.9,5.07,5.46,5.45,3.15,5.11,,6.36,6.66,5.4,6.73,6.22,5.95,,7.98,,7.29,5.89,7.17,4.74,,6.74,,4.74,,,6.66,,,,,,,7.97,9.48,9.88,,8.12,10.4,9.42,8.98,9.24,10.27,9.31,9.08,9.84,,8.85,9.62,9.05,,11.95,10.05,7.45,12.05,11.38,,13.4,10.4,,
221930088393001,Canning,22.325,88.65833333,,,,,,,,,1.57,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.24,8.73,,
222050088260101,Chandipur,22.34722222,88.43361111,,,,,,,,,3.5,,3.41,1.91,3.61,3.81,1.83,,3.09,3.86,3.01,2.93,3.17,4.05,2.6,2.69,2.83,2.91,2.61,2.7,2.78,2.96,2.57,2.51,,,,2.8,,3.55,2.15,2.4,2.9,4.12,2.46,3.46,3.61,4.36,2.73,2.17,2.73,3.68,1.58,2.68,4.32,,1.92,2.51,2.64,3.5,,2.44,,1.77,5.78,1.66,1.86,,3.3,2.78,2.85,2.81,1.83,1.7,5.11,3.81,,2.12,4.88,6.29,2.19,3.25,2.88,6.1,,,3.72,2.88,2.88,2.98,,3.53,2.9,,6.55,2.6,2.56,,3.28,2.38,3.05,,,4.7,1.54,0.94,1.32,,2.48,2.85,4.98,,5.14,4.38,2.18,4.4,6.94,1.38,6.1,1.73,,
221500088453001,Dakshin Barasat,22.25,88.75833333,,,,,,,,,4.1,4.64,3.82,3.84,4.01,4.65,3.3,4.68,4.91,4.63,4.24,4.21,4.15,5.1,4.42,4.14,4.24,5.27,5.37,4.35,4.69,5.31,4.65,4.54,5.26,5.59,4.96,4.74,5.37,5.43,4.74,4.58,4.43,5.53,4.9,4.56,4.82,5.86,4.4,4.64,4.4,5.18,5.33,4.98,5.03,5.93,5.32,5.43,4.68,5.79,5.27,5.08,5.69,6.63,5.08,6.16,5.36,,5.68,5.9,5.93,7.18,5.9,5.62,6.09,,,5.19,6.37,7.69,3.14,5.58,6.49,8,7.68,,,7.9,7.75,7.45,,8.64,7.75,,8.07,9.66,,,,,5.36,8.78,,9.84,,9.08,7.05,,,10.26,9.18,,8.82,7.88,6.58,10.97,10.58,10.48,12.81,10.63,,
